,BIA,BIA Latitude,BIA Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Rating
31,Little Italy,43.6553967901,-79.4143942315,4af63f31f964a520980222e3,Sotto Voce,43.65523981658037,-79.41383321455274,Lounge,7.5
32,Little Italy,43.6553967901,-79.4143942315,4f6d2896e4b0f375f94d8e68,The Comic Book Lounge + Gallery,43.655246595290926,-79.41342378175543,Hobby Shop,7.5
33,Little Italy,43.6553967901,-79.4143942315,4fd13c39e4b08d33e5926a75,Hogtown Pub & Oysters,43.654961853212264,-79.4150727507387,Gastropub,7.5
34,Little Italy,43.6553967901,-79.4143942315,50469ce0e4b09930b4f12456,Hapa Izakaya,43.655281492914376,-79.41419145285809,Japanese Restaurant,7.4
35,Little Italy,43.6553967901,-79.4143942315,533ccabf498eadddc1e8ca78,Menchie's,43.65504089070519,-79.41500912634761,Frozen Yogurt Shop,7.3
36,Little Italy,43.6553967901,-79.4143942315,4db0e1df6e81a2637ee1e240,Trattoria Taverniti,43.655288387150975,-79.41357667640771,Italian Restaurant,7.3
37,Little Italy,43.6553967901,-79.4143942315,5810f89138fa96e17ef23b61,DOMA,43.65545,-79.41418,Korean Restaurant,6.8
38,Little Italy,43.6553967901,-79.4143942315,5182da53498e0810ac967435,Presse Cafe,43.65495347408157,-79.41471781375186,Café,6.8
39,Little Italy,43.6553967901,-79.4143942315,4ad4c060f964a52054f720e3,Trattoria Giancarlo,43.65509216344388,-79.4137892946676,Italian Restaurant,6.8
40,Little Italy,43.6553967901,-79.4143942315,4ad4c05cf964a5200ef620e3,Cafe Diplomatico,43.655308855215935,-79.41388568879535,Italian Restaurant,6.5
41,Little Italy,43.6553967901,-79.4143942315,4ec84b3349010f98cd8d6b72,Sashimi Island,43.654927880038386,-79.4151606295883,Sushi Restaurant,6.3
42,Little Italy,43.6553967901,-79.4143942315,5ac6681161e53b50a28ee3b7,Tondou Ramen,43.65523122628565,-79.41396603802164,Ramen Restaurant,6.2
43,Little Italy,43.6553967901,-79.4143942315,4bef6063c80dc92853ea27e3,the wilson 96,43.65501710677792,-79.41468487700571,Pub,6.2
44,Little Italy,43.6553967901,-79.4143942315,53e99829498ec9b308932044,Pizza Pizza,43.6550492860411,-79.4146408631013,Pizza Place,6.1
45,Little Italy,43.6553967901,-79.4143942315,4ad4c060f964a52052f720e3,Coco Lezzone,43.65520061701744,-79.41410979982439,Italian Restaurant,6.0
46,Little Italy,43.6553967901,-79.4143942315,4cf9879034c1a093ab9f3a0e,La Forchetta,43.655054095240374,-79.41459936854328,Italian Restaurant,5.9
47,Little Italy,43.6553967901,-79.4143942315,4c73be8e7121a1cd6bd965d1,Cupps Coffee House,43.65501623217129,-79.41477277846296,Coffee Shop,
48,Little Italy,43.6553967901,-79.4143942315,4b80984bf964a520b37f30e3,Riva Supper Club,43.655369726930964,-79.41335204005351,Lounge,
49,Liberty Village,43.6376697857,-79.4212647051,4ae0c599f964a520578221e3,Liberty Village Market and Cafe,43.638056599035814,-79.4214930379186,Coffee Shop,7.8
50,Liberty Village,43.6376697857,-79.4212647051,583c921702b60e012fae6e7b,Liberty Commons at Big Rock Brewery,43.63831283909443,-79.42084474634228,Pub,7.1
51,Leslieville,43.6624597898,-79.3335550431,53af0086498eb15122135e6a,Completo,43.66255039511819,-79.33404945763401,Latin American Restaurant,8.4
52,Leslieville,43.6624597898,-79.3335550431,5338a65c498e46f6db9d3220,Kibo Sushi House,43.662633,-79.332677,Sushi Restaurant,8.2
53,Leslieville,43.6624597898,-79.3335550431,57acc462cd10c32744f2d7cd,Radical Road Brewing,43.662771755276616,-79.33251474073776,Brewery,8.1
54,Leslieville,43.6624597898,-79.3335550431,4ada456ff964a520c22021e3,Hanoi 3 Seasons,43.662199311171825,-79.33457571173595,Vietnamese Restaurant,8.0
55,Leslieville,43.6624597898,-79.3335550431,4ada03e4f964a520421d21e3,Tango Palace Coffee Company,43.6625313811144,-79.33369586477887,Coffee Shop,7.8
56,Leslieville,43.6624597898,-79.3335550431,4bba35da98c7ef3b83d63202,Leslie Grove Park,43.66296227311452,-79.33344426350223,Park,7.5
57,Leslieville,43.6624597898,-79.3335550431,4b1ab227f964a5209aef23e3,Guff,43.66242304918056,-79.3342650107853,Antique Shop,7.4
58,Leslieville,43.6624597898,-79.3335550431,4af4b1fcf964a52026f521e3,The Purple Purl,43.66277924068179,-79.33259801956473,Arts & Crafts Store,7.4
59,Leslieville,43.6624597898,-79.3335550431,4eea2733775b562a39c6646c,Le Matin,43.662562042280996,-79.33417043173323,Bakery,
60,Lakeshore Village,43.6011699294,-79.5033942413,5395d784498e085ff3c18198,Huevos Gourmet,43.601187646118454,-79.50371705335499,Mexican Restaurant,8.9
61,Lakeshore Village,43.6011699294,-79.5033942413,4b9322cbf964a5201a3734e3,New Toronto Fish & Chips,43.60184940532482,-79.50328125758809,Restaurant,6.8
62,Lakeshore Village,43.6011699294,-79.5033942413,4bc45c08b492d13afbdea960,Delicia Bakery & Pastry,43.601402988357286,-79.50301234678948,Bakery,6.4
63,Lakeshore Village,43.6011699294,-79.5033942413,4b0a80a3f964a520892423e3,Lucky Dice Restaurant,43.601392135734876,-79.50305626141281,Café,6.3
64,Lakeshore Village,43.6011699294,-79.5033942413,4e25a3a18130dc55147aba61,The Gallery Studio Cafe,43.601045428199775,-79.50335741043091,Café,
65,Korea Town,43.6642351084,-79.419190557,4aeba2a9f964a5200ac421e3,Baskin-Robbins,43.6636942404216,-79.4183474779129,Ice Cream Shop,6.9
66,Korea Town,43.6642351084,-79.419190557,4dd13b66d164679b8d41a5f8,Bloor Park Medical Centre,43.66372043477405,-79.41834881901741,Doctor's Office,
67,Kensington Market,43.6545773052,-79.4025281403,4b116957f964a520087c23e3,Kid Icarus,43.653933260442265,-79.40171859012935,Arts & Crafts Store,9.0
68,Kensington Market,43.6545773052,-79.4025281403,4b2d2ab2f964a52007d024e3,Hibiscus,43.655454254557085,-79.4024390910271,Vegetarian / Vegan Restaurant,8.6
69,Kensington Market,43.6545773052,-79.4025281403,51438b33e4b0a40e33fe5e77,Jimmy's Coffee,43.65449315540114,-79.40131090393002,Café,8.5
70,Kensington Market,43.6545773052,-79.4025281403,4b804b28f964a5200f6530e3,Perola Supermarket,43.65489448176307,-79.40214642462199,Grocery Store,8.5
71,Kensington Market,43.6545773052,-79.4025281403,587bc580e786b26b0d586aa3,FILM CAFE,43.65510856565147,-79.40234241534543,Comfort Food Restaurant,8.4
72,Kensington Market,43.6545773052,-79.4025281403,578fb4ce498ed3b80015a859,Wafels and More,43.65465108367296,-79.40197747917576,Belgian Restaurant,8.3
73,Kensington Market,43.6545773052,-79.4025281403,4b798147f964a52055fd2ee3,Carlos' House of Spice,43.654188111731344,-79.40190419262933,Gourmet Shop,8.3
74,Kensington Market,43.6545773052,-79.4025281403,5079aa85e4b065f1dd64ce3f,Hooked,43.6545853262614,-79.40174629702895,Fish Market,8.3
75,Kensington Market,43.6545773052,-79.4025281403,4df2e93ad22d8c5470dc3b01,Poetry Jazz Cafe,43.654974536398164,-79.40237067545584,Jazz Club,8.1
76,Kensington Market,43.6545773052,-79.4025281403,4bc4dcb874a9a5930177d6f6,Pancho's Bakery,43.654750233381165,-79.40210500607643,Bakery,8.0
77,Kensington Market,43.6545773052,-79.4025281403,4aedd989f964a52083cf21e3,King's Cafe,43.65427040798248,-79.40189703859198,Vegetarian / Vegan Restaurant,7.8
78,Kensington Market,43.6545773052,-79.4025281403,4b1bf527f964a520a1ff23e3,Emporium Latino,43.6548176585734,-79.4020900110632,Latin American Restaurant,7.8
79,Kensington Market,43.6545773052,-79.4025281403,4adb5a00f964a5204c2621e3,I Deal Coffee,43.65505778213131,-79.40325401691655,Coffee Shop,7.7
80,Kensington Market,43.6545773052,-79.4025281403,4f25a676e4b01b0c60b7f9c4,Thirsty and Miserable,43.65456533618983,-79.4015827891908,Beer Bar,7.7
81,Kensington Market,43.6545773052,-79.4025281403,5a35aac9e96d0c07801331ec,Ozzy's Burger,43.65519064459841,-79.40261014020656,Burger Joint,7.7
82,Kensington Market,43.6545773052,-79.4025281403,5176c8aae4b090a07b80071d,Pancho y Emiliano,43.65447207921505,-79.401968986357,Mexican Restaurant,7.3
83,Kensington Market,43.6545773052,-79.4025281403,4ae348cef964a520dd9221e3,KOS,43.65502568322186,-79.40335800214416,Breakfast Spot,6.1
84,Historic Queen East,43.6550858149,-79.3673123156,4dee916452b13dda25fb9065,Mimi Variety,43.654787,-79.36809,Convenience Store,
85,Hillcrest Village,43.6809425781,-79.4291140518,52418b0b7e48222eea81d2d2,Pukka Restaurant,43.68105502412986,-79.4291869567722,Indian Restaurant,
86,Hillcrest Village,43.6809425781,-79.4291140518,4aeb7abbf964a52080c221e3,Ferro Bar Cafe,43.68107983140924,-79.4285699237273,Italian Restaurant,
87,Hillcrest Village,43.6809425781,-79.4291140518,55a192fb498eba3d2ffb5cc1,Krave Coffee,43.68074046687234,-79.42941660923084,Coffee Shop,
88,Hillcrest Village,43.6809425781,-79.4291140518,51e4b251498e1df3a736a016,Aviv,43.6807858,-79.4291666,Jewish Restaurant,
89,Hillcrest Village,43.6809425781,-79.4291140518,581cc52b8d169071e52cde38,NODO,43.681156,-79.429857,Italian Restaurant,
90,Hillcrest Village,43.6809425781,-79.4291140518,4fd28998e4b03f13ec1d37f9,The Piper's Pub,43.68103119111243,-79.42934478370216,Restaurant,
91,Hillcrest Village,43.6809425781,-79.4291140518,4b80810ff964a520367830e3,Nama Sushi,43.681255,-79.42816,Sushi Restaurant,
92,Hillcrest Village,43.6809425781,-79.4291140518,531a3c98498e61592630f4ad,Roast Butcher Shop,43.68097793606934,-79.42950763593552,Market,
93,Hillcrest Village,43.6809425781,-79.4291140518,4c856fca2f1c236a12ee5443,St.Clair West At ARLINGTON,43.68113228474074,-79.42849644161883,Light Rail Station,
94,Harbord Street,43.6625873342,-79.4044545855,5707bcb9498e709b544e20b2,Her Father's Cider Bar + Kitchen,43.66244824890102,-79.40470324675829,Beer Bar,
95,Harbord Street,43.6625873342,-79.4044545855,527d450111d25050de4ea0d8,Rasa,43.662756751275445,-79.40398803188654,Restaurant,
96,Harbord Street,43.6625873342,-79.4044545855,4ade455bf964a520837421e3,Harbord House,43.66246595195944,-79.40541041671369,Bar,
97,Harbord Street,43.6625873342,-79.4044545855,4b6cbfd2f964a52072512ce3,Akai Sushi,43.66246971191281,-79.40494572728848,Sushi Restaurant,
98,Harbord Street,43.6625873342,-79.4044545855,59319e3ae185f3283a4fc06a,Cafe Cancan,43.662735486588865,-79.40344738555669,French Restaurant,
99,Harbord Street,43.6625873342,-79.4044545855,517ae303011ced68fcc25005,Harvest Kitchen,43.662713770749434,-79.40433001263669,Restaurant,
100,Harbord Street,43.6625873342,-79.4044545855,4aec4c24f964a520e9c521e3,Harbord Bakery & Calandria,43.662519096022976,-79.40444270567404,Bakery,
101,Harbord Street,43.6625873342,-79.4044545855,53b74e05498efc27ecea1954,Almond Butterfly,43.66283554072087,-79.40336494731255,Bakery,
102,Harbord Street,43.6625873342,-79.4044545855,56b2d44e498e65064938373c,FLOCK Rotisserie + Greens,43.66263716795857,-79.4037981720113,Comfort Food Restaurant,
103,Harbord Street,43.6625873342,-79.4044545855,4af11491f964a520aee021e3,Charlie's Gallery,43.662809819602124,-79.40382164131282,Bar,
104,Harbord Street,43.6625873342,-79.4044545855,56689f1a498e00175f4ba8af,Magic Noodle,43.66272766027783,-79.4036022699349,Noodle House,
105,Harbord Street,43.6625873342,-79.4044545855,4b22c99af964a5208e4d24e3,Harbord Convenience,43.662627051049114,-79.4040425349905,Flower Shop,
106,Greektown on the Danforth,43.6788446742,-79.3458214646,5269ba3c498ea63de3eb987b,Simone's Caribbean Restaurant,43.67865547474292,-79.34658157954753,Caribbean Restaurant,7.7
107,Greektown on the Danforth,43.6788446742,-79.3458214646,4af6e7a0f964a520060422e3,IL FORNELLO on Danforth,43.67860392856738,-79.34690364849348,Italian Restaurant,7.1
108,Greektown on the Danforth,43.6788446742,-79.3458214646,5246dbd611d23c6130e650a0,Kitchen Stuff Plus,43.67861256318158,-79.34642163596001,Furniture / Home Store,6.8
109,Greektown on the Danforth,43.6788446742,-79.3458214646,5306c4c511d234448cf8010b,A&W,43.679103,-79.344777,Fast Food Restaurant,6.8
110,Greektown on the Danforth,43.6788446742,-79.3458214646,4bb74c12941ad13a687620e3,Treasure Island Toys,43.67858929071581,-79.34662343449773,Toy / Game Store,6.7
111,Greektown on the Danforth,43.6788446742,-79.3458214646,4ad89921f964a520b01221e3,Katsu Japanese Restaurant,43.67861856512561,-79.34702430590903,Sushi Restaurant,6.7
112,Greektown on the Danforth,43.6788446742,-79.3458214646,4c8e5c55a8de224b59d32601,RBC Royal Bank,43.67904050921775,-79.3450772974745,Bank,6.4
113,Greektown on the Danforth,43.6788446742,-79.3458214646,4adcba1cf964a520272f21e3,Starbucks,43.678879,-79.346357,Coffee Shop,6.0
114,Greektown on the Danforth,43.6788446742,-79.3458214646,4be87364ee96c9283f1bfebf,Foodland - Toronto,43.67865,-79.345674,Grocery Store,5.9
115,Greektown on the Danforth,43.6788446742,-79.3458214646,53ceff77498e17abac63727a,Popeye's Supplements,43.678895771869136,-79.34538681026845,Supplement Shop,
116,Greektown on the Danforth,43.6788446742,-79.3458214646,52ce354c11d2e875bdfc358a,The Forth,43.67879168427029,-79.34555399866024,Mediterranean Restaurant,
117,Greektown on the Danforth,43.6788446742,-79.3458214646,4ade346bf964a520e77321e3,GoodLife Fitness Toronto Danforth and Pape,43.678545,-79.345305,Gym,5.3
118,Gerrard India Bazaar,43.6721568588,-79.3225101142,4afc9816f964a520312422e3,Motimahal,43.672174809921415,-79.32253200796698,Indian Restaurant,
119,Gerrard India Bazaar,43.6721568588,-79.3225101142,54b47574498e6b087d957fa2,Eulalie's Corner Store,43.67253532149764,-79.32189619176525,Bar,
120,Gerrard India Bazaar,43.6721568588,-79.3225101142,4c7af78297028cfa02f2dffe,Lahore Paan Centre,43.67222612550265,-79.32212190790149,Snack Place,
121,Gerrard India Bazaar,43.6721568588,-79.3225101142,56f18e67498e352d787f8a34,Hakka Wow,43.672282,-79.322126,Indian Chinese Restaurant,
122,Gerrard India Bazaar,43.6721568588,-79.3225101142,4b3d44eff964a5205d9125e3,BJ Supermarket,43.67238943901235,-79.3213834879562,Grocery Store,
123,Gerrard India Bazaar,43.6721568588,-79.3225101142,4bbcc0efa0a0c9b60ebd1a0f,Haandi 2000,43.67192914440453,-79.32366244535852,Indian Restaurant,
124,Gerrard India Bazaar,43.6721568588,-79.3225101142,4ad9052cf964a520301721e3,Regency Restaurant,43.672118220823734,-79.3224739756517,Indian Restaurant,
125,Gerrard India Bazaar,43.6721568588,-79.3225101142,4d8d278a1d06b1f712942a3b,Gautama,43.67215025713003,-79.32287710601119,Indian Restaurant,
126,Gerrard India Bazaar,43.6721568588,-79.3225101142,4d1bcc3234125941cd53cb17,Gerrard India Bazaar,43.67208555010096,-79.32340264320374,Shopping Plaza,
127,Gerrard India Bazaar,43.6721568588,-79.3225101142,4c427065ce54e21eefc30c1a,Baldev Paan House,43.671861012130975,-79.3236844528519,Indian Restaurant,
128,Gerrard India Bazaar,43.6721568588,-79.3225101142,4b9befeff964a520063836e3,Toronto Cash & Carry,43.671954,-79.323412,Grocery Store,
129,Gerrard India Bazaar,43.6721568588,-79.3225101142,56c12514cd10628ed1d54afe,Karma's Kitchen,43.671905,-79.323117,Tibetan Restaurant,
130,Gerrard India Bazaar,43.6721568588,-79.3225101142,4c152be8a1010f4722964d18,Nucreation,43.67226,-79.322882,Women's Store,
131,Forest Hill Village,43.6892098137,-79.4132494501,4b043657f964a5202c5222e3,Starbucks,43.68897,-79.413097,Coffee Shop,
132,Forest Hill Village,43.6892098137,-79.4132494501,4b0c9beaf964a5201c4023e3,Track Fitness,43.68874446105689,-79.41260738301624,Gym,
133,Forest Hill Village,43.6892098137,-79.4132494501,4f9b223be4b0d04dbfa6ff88,Hero Certified Burgers,43.68863093053954,-79.41263632449024,Burger Joint,
134,Forest Hill Village,43.6892098137,-79.4132494501,4bed6f8ee3562d7ffaf9fef8,TD Canada Trust,43.6893326,-79.4127508,Bank,
135,Forest Hill Village,43.6892098137,-79.4132494501,4bc3369e461576b018487e32,RBC Royal Bank,43.68870512528291,-79.41308967769146,Bank,
136,Forest Hill Village,43.6892098137,-79.4132494501,515c4c7ae4b0668bec90c676,Freshii,43.68904719148535,-79.41281856344665,Vegetarian / Vegan Restaurant,
137,Forest Hill Village,43.6892098137,-79.4132494501,4ae88cdef964a52056b021e3,Second Cup,43.688697685124076,-79.41260118073386,Café,
138,Forest Hill Village,43.6892098137,-79.4132494501,4d2202e0b69c6dcb70707e95,COBS Bread,43.6890549742118,-79.41284265183978,Bakery,
139,Forest Hill Village,43.6892098137,-79.4132494501,4bca185a68f976b0a8a05e83,Francesca's Salon,43.68863950126384,-79.41300839489382,Salon / Barbershop,
140,Forest Hill Village,43.6892098137,-79.4132494501,4aebad91f964a52057c421e3,TYPE Books,43.68896670706769,-79.4127952496395,Bookstore,
141,Forest Hill Village,43.6892098137,-79.4132494501,4bdb994463c5c9b686ed2868,Village Chill,43.68874748732004,-79.41239806563169,Ice Cream Shop,
142,Forest Hill Village,43.6892098137,-79.4132494501,51c88316498e037454adaf51,LCBO,43.688909320035044,-79.41281717148208,Liquor Store,
143,Financial District,43.6478050428,-79.3811789068,4ad4c05df964a52059f620e3,Canoe,43.647452066183476,-79.38132001815676,Restaurant,8.7
144,Financial District,43.6478050428,-79.3811789068,592c5bfb31fd147e47255fb3,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop,8.2
145,Financial District,43.6478050428,-79.3811789068,4b059c24f964a520c2df22e3,Indigospirit,43.64834987590252,-79.38034747310336,Bookstore,8.0
146,Financial District,43.6478050428,-79.3811789068,50e44770e4b0e03a48c0d8a8,Kupfert & Kim (First Canadian Place),43.64854659465186,-79.38162406470161,Gluten-free Restaurant,7.8
147,Financial District,43.6478050428,-79.3811789068,4ad4c05ff964a520eff620e3,Design Exchange,43.64797219581623,-79.38010382588462,Art Gallery,7.8
148,Financial District,43.6478050428,-79.3811789068,4ae7199ff964a52068a821e3,Bymark,43.647217284018005,-79.38125188166379,Restaurant,7.7
149,Financial District,43.6478050428,-79.3811789068,4c8166f4d34ca143fc272280,Toronto Athletic Club,43.647359553534905,-79.3811766566002,Gym,7.5
150,Financial District,43.6478050428,-79.3811789068,55a63131498e114c3c6d2cd5,McEwan Foods,43.64716011126396,-79.38104402548048,Deli / Bodega,7.1
151,Financial District,43.6478050428,-79.3811789068,52fea9c4498e17cea2b55e68,Papyrus,43.64819540954937,-79.3813921854217,Gift Shop,7.1
152,Financial District,43.6478050428,-79.3811789068,4b69e163f964a520e1b92be3,Soup Nutsy,43.647857591711336,-79.38053285911379,Soup Place,7.0
153,Fairbank Village,43.6956707206,-79.4523176746,591b7475b9ac384466dc6fb0,Pizza Hut,43.69567319999999,-79.4515145,Pizza Place,6.3
154,Fairbank Village,43.6956707206,-79.4523176746,4b8e9857f964a520d52a33e3,TD Canada Trust,43.69548525514628,-79.4517315417083,Bank,6.3
155,Eglinton Hill,43.6904315604,-79.4735134133,5143b746e4b0ff6e207da7e4,Subway,43.69021830300218,-79.47404997234327,Sandwich Place,
156,Eglinton Hill,43.6904315604,-79.4735134133,5000f2b3e4b0ae2f16d5dad7,Z Bar & Grille,43.6906730071065,-79.47276425326548,Bar,
157,Eglinton Hill,43.6904315604,-79.4735134133,5841b760e110955af030954d,El Nahual,43.6907629,-79.4737993,Restaurant,
158,Eglinton Hill,43.6904315604,-79.4735134133,4c1a5f378b3aa5934380955f,Timothy's World Coffee,43.69007166039847,-79.47459889881466,Coffee Shop,
159,Eglinton Hill,43.6904315604,-79.4735134133,55131562498ea1434fcfc6c1,Dollar Tree,43.6902962,-79.4746668,Discount Store,
160,Dupont by the Castle,43.6762805178,-79.4075733955,4b730725f964a520c7962de3,Toronto Archives,43.67644734460629,-79.40750861881347,History Museum,8.1
161,Church-Wellesley Village,43.6644381876,-79.3807103696,50c20a89e4b02803a189384b,FUEL+,43.66439936324463,-79.38042718414235,Juice Bar,8.6
162,Church-Wellesley Village,43.6644381876,-79.3807103696,533d629b498e7452f4a50bda,North of Brooklyn Pizzeria,43.664383604568975,-79.38037571983865,Pizza Place,8.2
163,Church-Wellesley Village,43.6644381876,-79.3807103696,5966b520fc9e94307406dafe,Si Lom,43.66501007731949,-79.38068288199048,Thai Restaurant,8.1
164,Church-Wellesley Village,43.6644381876,-79.3807103696,4b7af787f964a520f9482fe3,Glad Day Bookshop,43.66527119350875,-79.38078512672504,Bookstore,8.1
165,Church-Wellesley Village,43.6644381876,-79.3807103696,4b654efaf964a520aeec2ae3,Black Eagle,43.66408473971554,-79.38009823456886,Gay Bar,8.0
166,Church-Wellesley Village,43.6644381876,-79.3807103696,5446f60b498e4a38ccda6bc8,The Men's Room,43.664445596525944,-79.38006704821788,Men's Store,7.9
167,Church-Wellesley Village,43.6644381876,-79.3807103696,4ab17387f964a520866920e3,Churchmouse & Firkin,43.66463217328346,-79.38040612389896,Pub,7.8
168,Church-Wellesley Village,43.6644381876,-79.3807103696,4c193c77838020a1e768e561,Kawa Sushi,43.66389438938988,-79.38021009464505,Japanese Restaurant,7.8
169,Church-Wellesley Village,43.6644381876,-79.3807103696,4ad88725f964a5200d1221e3,Woody's and Sailor,43.664389684023526,-79.38036131100687,Gay Bar,7.7
170,Church-Wellesley Village,43.6644381876,-79.3807103696,4b746c9df964a520c1db2de3,Baskin-Robbins,43.66507308115074,-79.38068437615618,Ice Cream Shop,7.6
171,Church-Wellesley Village,43.6644381876,-79.3807103696,52423fb211d22dbd0eea431b,Kintaro,43.664151602498634,-79.38026409399562,Sake Bar,7.6
172,Church-Wellesley Village,43.6644381876,-79.3807103696,4ad8888ff964a520141221e3,Starbucks,43.66498,-79.38051,Coffee Shop,7.5
173,Church-Wellesley Village,43.6644381876,-79.3807103696,4ad4c05cf964a52012f620e3,Pegasus Bar,43.66507639965844,-79.38064075593536,Sports Bar,7.3
174,Church-Wellesley Village,43.6644381876,-79.3807103696,4c302ae47cc0c9b6e90ded9a,Boutique Bar,43.664219464355675,-79.3804123393745,Gay Bar,7.3
175,Church-Wellesley Village,43.6644381876,-79.3807103696,5a3624c5a0215b490c058c56,Loaded Pierogi,43.664665,-79.380641,Polish Restaurant,7.2
176,Church-Wellesley Village,43.6644381876,-79.3807103696,4c531b60a724e21e029e3af4,Kokoni Izakaya,43.664181433817156,-79.38025833040214,Japanese Restaurant,6.6
177,Church-Wellesley Village,43.6644381876,-79.3807103696,4e716b1ad22dbd62613d2ab9,Church Street Garage,43.664710240695925,-79.3803316033599,Gay Bar,6.4
